topic,label,tweet_id
apple,positive,126415614616154112
apple,positive,126415614616154112
apple,positive,126402758403305474
apple,positive,126397179614068736
apple,positive,126379685453119488
apple,positive,126377656416612353
apple,positive,126373779483004928
apple,positive,126365858481188864
apple,positive,126360935509135362
apple,positive,126360398885687296
apple,positive,126358340220616704
apple,positive,126357982685569024
apple,positive,126352268705538048
apple,positive,126342268603998208
apple,positive,126325800080392193
apple,positive,126324177501302784
apple,positive,126322063332999169
apple,positive,126318009647235072
apple,positive,126315223060709376
apple,positive,126314687116750849
apple,positive,126311981564178432
apple,positive,126307801046847488
apple,positive,126302673820594176
apple,positive,126301956951117826
apple,positive,126287654093471745
apple,positive,126284506360578049
apple,positive,126263834968211456
apple,positive,126256230397259776
apple,positive,126195522691280896
apple,positive,126183339945234432
apple,positive,126180209501286400
apple,positive,126164430546403328
apple,positive,126140794078892033
apple,positive,126134400466419712
apple,positive,126116898051076096
apple,positive,126116614495154176
apple,positive,126112836219973632
apple,positive,126107965991297024
apple,positive,126104732426186752
apple,positive,126097426493878272
apple,positive,126095744531832832
apple,positive,126084907343691776
apple,positive,126079414986485761
apple,positive,126076238375817216
apple,positive,126075534894571520
apple,positive,126064519943426048
apple,positive,126063358037340161
apple,positive,126059405941809152
apple,positive,126057030996852737
apple,positive,126049183865114624
apple,positive,126040074595999746
apple,positive,126034495991328768
apple,positive,126026756623831041
apple,positive,126019393460244481
apple,positive,126009748020658177
apple,positive,126008369562652672
apple,positive,126002597063696384
apple,positive,125999676972470272
apple,positive,125978568726560768
apple,positive,125974505385500672
apple,positive,125959059957485569
apple,positive,125947912306954240
apple,positive,125940394566483968
apple,positive,125925618486489088
apple,positive,125924446430183425
apple,positive,125922999651139584
